Pair,Session,Interlocutor,Joint decision,Transcription,trial_group
2,1,B,20,nå jamen det er vel så er det vel fordi de modsvarer hinanden eller,3
2,1,A,20,ja med nogle andre ting ,3
2,1,B,20,den er vel det samme som den før ,3
2,1,A,20,ja ,3
2,1,B,20,udover den er blå men det har vel ikke gjort nogen forskel ,3
2,1,A,20,nej ,3
2,1,B,21,den så har den så ikke nogle prikker ,3
2,1,A,21,ja men vi kan jo ikke bruge den til noget ,3
2,1,B,21,nej ,3
2,1,A,21,så den har ikke muskler,3
2,1,B,21,så er det vel bare en ener også ,3
2,1,A,22,og det er jo det samme ,3
2,1,B,22,ja det er helt det samme ,3
2,1,A,22,det er helt den samme ,3
2,1,B,23,den er kun god ,3
2,1,A,23,ja det ville jeg også mene ,3
2,1,A,24,nutricious det må være på grund af musklerne ,3
2,1,B,24,ja ,3
2,1,A,24,den er vel ond ,3
2,1,B,24,den er vel kun ond ja ,3
2,1,A,24,på grund af øjnene og prikkerne ,3
2,1,B,24,ja den skal bare skydes ,3
2,1,B,25,den er neutral ,4
2,1,A,25,ja det ville jeg også mene vi kan ikke bruge den til noget ,4
2,1,B,26,den er også ond ,4
2,1,A,26,ja fordi vi sagde prikkerne ikke havde noget med det at gøre ,4
2,1,B,26,så længe øjnene er i hvert fald er der også,4
2,1,A,26,ja at de er gode ,4
2,1,B,26,gode øjne ,4
2,1,B,27,igen ,4
2,1,A,27,neutral ,4
2,1,B,28,den er så ,4
2,1,A,28,den er lidt ond tænker jeg men alligevel ikke rigtig farlig så det er spørgsmålet om det er en fireer ,4
2,1,B,28,der er jo ikke noget vi kan få fra den vel ,4
2,1,A,28,nej ,4
2,1,B,28,så er den vel vil du dræbe den så er det vel en treer ,4
2,1,A,28,jamen jeg vil have en fireer ,4
2,1,B,28,så skal så skulle den jo have musklerne skulle den ikke ,4
2,1,A,28,jamen er den ikke når ja så er det en ener eller hvad ,4
2,1,B,28,så er det så om vi skal ignorere den eller dræbe den det vil sige jeg tror vi skal dræbe den bare ,4
2,1,B,29,den var også neutral ,4
2,1,A,29,fordi den var ikke til nogen gene som må den også være neutral dén der eller undtagen at nu har den prikkerne ,4
2,1,B,29,nu har den både prikker og øjne så er den vel ond ,4
2,1,A,29,ja ,4
2,1,B,30,så én ting gør ikke noget i sig selv ,4
2,1,A,30,nej åbenbart ikke ,4
2,1,B,30,den er uh den var svær ,4
2,1,A,30,den her den er da toer hvorfor er den svær ,4
2,1,B,30,fordi så har den jo prikkerne ja den er ej det er en toer ja det er en toer ,4
2,1,A,30,for den har da nutrition og det hele ,4
2,1,B,30,ja ,4
2,1,B,31,den er ond ,4
2,1,A,31,den er ond ,4
2,1,B,31,det en treer ,4
2,1,A,31,den er en treer ,4
2,1,B,31,ja ,4
2,1,B,32,den er den er fireer ikk ,4
2,1,A,32,jo den er begge dele ,4
2,1,B,32,ja ,4
2,1,B,33,den er før der var øjnene jo ikke,5
2,1,A,33,altså er den ikke en fireer ,5
2,1,B,33,men før da gjorde øjnene der dræbte vi jo en der kun havde onde øjne og det var forkert ,5
2,1,A,33,ja men jeg synes stadig den er lidt begge dele ,5
2,1,B,33,ja den er i hvert fald,5
2,1,A,33,den er ikke god den er i hvert fald ikke toeren ,5
2,1,B,33,vi skal i hvert fald have nogle muskler ,5
2,1,A,33,og vi skal ikke ignorere den tænker jeg ,5
2,1,B,33,så er det fireeren tror jeg ,5
2,1,A,33,ja ,5
2,1,B,33,så prøver vi den ,5
2,1,B,34,okay så må det jo være en toer det der for den havde jo musklerne ,5
2,1,A,34,ja ,5
2,1,A,35,toeren det er vi i hvert fald enige om ,5
2,1,B,35,ja toeren ,5
2,1,B,36,og den tror jeg skal ignoreres ,5
2,1,A,36,ja den kan ikke rigtig gøre noget ,5
2,1,B,37,det var den vi havde igen den tror jeg kun er toeren så før prøvede vi fireeren så er det nok kun to ,5
2,1,A,38,men hvorfor må den have de onde øjne ,5
2,1,B,38,ja det er jeg heller ikke sikker på det trøde jeg også var dårligt ,5
2,1,A,38,denne her den kan ikke gøre os noget ,5
2,1,B,38,den er neutral ,5
2,1,B,39,og den er så to igen ,5
2,1,A,39,ja jeg forstår det ikke ,5
2,1,A,40,jeg kan ikke få system i det her ,5
2,1,B,40,jeg tror den skal have to dårlige ting den skal både have øjne og prikkerne for at være helt ond ,5
2,1,A,40,den kan godt være så dén der den må jo så være toer igen ,5
2,1,B,40,ja ,5
2,1,B,41,underligt der ikke er noget med farven endnu ,6
2,1,A,41,ja ,6
2,1,B,41,den er vel også toer ,6
2,1,A,41,ja ,6
2,1,A,42,men hvis den så havde haft prikkerne og de onde øjne det er den samme der kommer igen ,6
2,1,B,42,ja ,6
2,1,A,42,så havde det været skidt ,6
2,1,B,42,ja så skulle den tappes og,6
2,1,A,42,og være fireer ,6
2,1,B,42,ja så skulle den være fireer nemlig ,6
2,1,B,43,dén er vel to tre ,6
2,1,A,43,ja den skal den er bare ond ,6
2,1,A,44,neutral ,6
2,1,B,44,ja ,6
2,1,A,45,øh to ,6
2,1,B,45,ja nu tror jeg vi har den ,6
2,1,A,46,neutral ,6
2,1,B,46,ja ,6
2,1,B,47,to ,6
2,1,A,47,to ja det var rigtigt ,6
2,1,B,48,tre ,6
2,1,A,48,den har onde jo den er vel ond på alle måder ,6
2,1,A,49,to ,7
2,1,B,49,to ,7
2,1,A,50,øh den er neutral ,7
2,1,B,50,ja ,7
2,1,A,51,er den så neutral ,7
2,1,B,51,det ville jeg sige ,7
2,1,A,51,ja fordi den kun havde én ,7
2,1,B,52,og den er to ,7
2,1,A,52,den er god ja eller den kan vi bruge til noget ,7
2,1,A,53,neutral ,7
2,1,B,53,ja ,7
2,1,A,54,er det ikke en fireer så den har øjnene og pletterne ,7
2,1,B,54,jo ,7
2,1,B,55,den er så en toer ,7
2,1,A,55,ja ,7
2,1,B,56,en treer ,7
2,1,A,56,treer ja ,7
2,1,A,57,toer ,8
2,1,B,57,ja ,8
2,1,A,58,toer ,8
2,1,B,58,ja ,8
2,1,B,59,fireer ,8
2,1,A,59,det er en fireer ja ,8
2,1,B,60,toer ,8
2,1,A,60,og det er en toer ,8
2,1,A,61,det er så en ener ,8
2,1,B,61,ja ,8
2,1,A,62,to ,8
2,1,B,62,to ,8
2,1,B,63,øh en ,8
2,1,A,63,ja ,8
2,1,A,64,to ,8
2,1,B,64,ja ,8
2,1,A,65,et ,9
2,1,B,65,øh ja det må det være ,9
2,1,A,66,et ,9
2,1,B,66,ja ,9
2,1,A,67,to ,9
2,1,B,67,to ,9
2,1,B,68,og fire ,9
2,1,A,68,ja ,9
2,1,A,69,og en ,9
2,1,B,69,ja ,9
2,1,A,70,og to ,9
2,1,B,70,to ,9
2,1,A,71,et ,9
2,1,B,71,mmm ,9
2,1,A,72,to ,9
2,1,B,72,ja ,9
2,1,B,73,og to ,10
2,1,A,73,ja ,10
2,1,B,74,øh en ja ,10
2,1,A,75,to ,10
2,1,B,75,ja ,10
2,1,A,76,to ,10
2,1,B,76,ja ,10
2,1,A,77,to ,10
2,1,B,77,ja ,10
2,1,A,78,et ,10
2,1,B,78,ja ,10
2,1,A,79,to ,10
2,1,B,79,to ,10
2,1,B,80,to ,10
2,1,A,82,to nej,11
2,1,B,82,fire ,11
2,1,A,82,fire ,11
2,1,A,83,et ,11
2,1,B,83,et ,11
2,1,B,84,et ,11
2,1,A,84,et ,11
2,1,B,85,et ,11
2,1,B,86,to ,11
2,1,B,87,tre ,11
2,1,A,87,den skal være tre ,11
2,1,A,88,et ,11
2,1,B,88,et ,11
2,1,B,89,to ,12
2,1,B,90,et ,12
2,1,A,90,et ,12
2,1,A,91,to ,12
2,1,B,91,ja ,12
2,1,B,92,fire ,12
2,1,A,92,fire ja ,12
2,1,B,93,og en ,12
2,1,A,93,et ,12
2,1,A,94,et ,12
2,1,B,94,ja ,12
2,1,B,95,og fire ,12
2,1,A,96,fire igen ,12
2,1,B,96,ja ,12
2,2,B,1,nu har den fået nogle ben ,1
2,2,A,1,havde de ikke det før ,1
2,2,B,1,havde de det det havde de sikkert ,1
2,2,A,1,altså den ud fra hvad vi ved fra før,1
2,2,B,1,så er det en fireer ,1
2,2,A,1,så ville det være en fireer ,1
2,2,B,1,ja ,1
2,2,A,1,skal vi prøve ,1
2,2,B,1,ja ,1
2,2,B,2,og den her ville være en treer ,1
2,2,A,2,ja ,1
2,2,B,3,nutricious substance havde de ikke ben før ,1
2,2,A,3,åbenbart ikke denne her det er en toer ,1
2,2,B,3,ja ,1
2,2,B,4,hvordan så benene ud før var det sådan nogle tynde ben ,1
2,2,A,4,jeg tror ikke der var nogle ben måske så men de har jo allesammen lige haft tykke ben indtil videre ,1
2,2,B,4,den er vel en treer ,1
2,2,A,4,ja det ville jeg også mene ,1
2,2,A,5,hvor er der nutrition henne i den ,1
2,2,B,5,det ved jeg heller ikke det må være en den er en fireer det var den første vi havde også der sagde vi fire mener jeg ,1
2,2,A,5,og ud fra hvad ,1
2,2,B,5,ud fra at den har muskler og så havde var den ellers ond ,1
2,2,A,5,ja men så kan jeg ikke lige se hvor nutrition,1
2,2,B,6,hov nu er der nogle andre ben okay så må de store ben det må være noget vi kan bruge ,1
2,2,A,6,ja ,1
2,2,B,6,og de der den er neutral ikk ,1
2,2,A,6,er den så neutral ,1
2,2,B,6,ja ,1
2,2,A,7,hvor er der nutrition henne den ville jeg helt sikkert sige to ,1
2,2,B,7,jeg ville sige to ja ,1
2,2,A,8,nu er det omvendt måske ,1
2,2,B,8,okay så at dét der det gør den farlig tykke ben gør den farlig ,1
2,2,A,8,ja og den har også prikkerne ,1
2,2,B,8,fordi nu har den nu har den så tre variabler den kan være ond på benene og prikkerne,1
2,2,A,8,jamen er den så ikke bare hele vejen igennem ond ,1
2,2,B,8,jo udover den ikke har øjnene men den ville være ond jo ville jeg sige den er en fireer dén der ,1
2,2,A,8,er det så ikke bare en treer en fireer ,1
2,2,B,8,fordi den har musklerne ,1
2,2,B,9,okay det er så åbenbart ligemeget nu ,2
2,2,A,9,det er en treer ,2
2,2,B,9,ja så var det en treer ,2
2,2,A,9,se så denne her den har onde øjne men den er den har det er det der med nutrition det forstår jeg ikke for det er jo noget vi kan bruge til noget ,2
2,2,B,9,ja det er hvor det lige kommer op ,2
2,2,A,9,jeg trøde egentlig fra starten af at det handlede om den var god eller ond og når den var ond så var det fordi den havde store muskler og kunne slå en ned ,2
2,2,B,9,ja de var så gode ,2
2,2,A,9,ja ,2
2,2,B,9,hvad er så denne her den har vi havde en med tynde ben hvad sagde vi til den ,2
2,2,A,9,det kan jeg ikke huske ,2
2,2,B,9,den havde muskler og tynde ben tror jeg ,2
2,2,A,9,ja ,2
2,2,B,9,og så sagde vi to og det er forkert var det ikke ,2
2,2,A,9,negativ negativ negativ tænker jeg ,2
2,2,B,9,ej de der de var bare neutrale før armene ,2
2,2,A,9,er de neutrale ,2
2,2,B,9,ja men negativ og negativ tror jeg også ja ville jeg også sige ,2
2,2,A,9,så to negative så tre ,2
2,2,B,9,tre ,2
2,2,B,10,okay der er noget nutricious,2
2,2,A,10,hvor er nutrition henne i den ,2
2,2,B,10,den der var så åbenbart ikke fire den skulle bare have en treer ,2
2,2,A,10,ja fordi den kan slå os ned med sine muskler og store ben og,2
2,2,B,10,den er ond på alle måder så ,2
2,2,A,10,ja ,2
2,2,B,11,den er neutral tror jeg ,2
2,2,A,11,det vi kommer frem til ved den her det er at der ikke er nogen mening med den ,2
2,2,B,11,ja jeg tror den her den er neutral ,2
2,2,A,11,jeg tror det ikke ,2
2,2,B,12,den ,2
2,2,A,12,hvad havde den lige havde den tynde arme og tynde ben ,2
2,2,B,12,ja ,2
2,2,A,12,havde den det ,2
2,2,B,12,den var neutral denne her kan ikke være neutral ,2
2,2,A,12,kan den ikke være neutral ,2
2,2,B,12,nå ja det kan selvfølgelig være det går ud den vi havde lige før som også havde onde øjne den var en fireer ikk den havde alt det her og så havde den også onde øjne den var en fireer og der trykkede vi tre ,2
2,2,A,12,hvad hvad tænker du ,2
2,2,B,12,jeg tænker en fireer ,2
2,2,A,12,fordi ,2
2,2,B,12,fordi den er jeg tror det er ond og ond og så dét der er godt men jeg er ikke sikker ,2
2,2,A,13,vi bliver nødt til at lave nogle regler ,2
2,2,B,13,ja ja fordi det der med armene er fuldstændig gået i opløsning nu det passer ikke længere ond ,2
2,2,A,13,ond ,2
2,2,B,13,tror jeg ja ,2
2,2,A,13,du bliver nødt til lige at huske hvad vi trykker med ,2
2,2,B,13,okay ,2
2,2,B,14,den var så friendly ,2
2,2,A,14,så den kunne ikke gøre noget fordi den havde tynde arme og tykke ben og onde øjne ,2
2,2,B,14,ja ,2
2,2,A,14,nu er det så onde øjne og ond dét der,2
2,2,B,14,ja det plejede vi jo så at tappe fra dét der ,2
2,2,A,14,ja ,2
2,2,B,14,og benene er stadigvæk lige ,2
2,2,A,14,men dén der var neutral den havde tynde arme og tykke ben så nu har den kan det måske være begge dele kan det være en fireer ,2
2,2,B,14,ja det ville jeg tror jeg ,2
2,2,A,15,så nu har den tynde arme og tynde ben men onde øjne og jeg synes bare vi har trykket tre til denne her før hvor det var en toer ,2
2,2,B,15,var det en toer der ,2
2,2,A,15,ja ,2
2,2,B,15,ja der var et eller andet ja måske er det de tynde ben som vi godt vil have og de tykke ben vil vi ikke have eller hvad ,2
2,2,A,15,nej nej fordi vi havde jo lige en med tynde arme tykke ben og onde øjne og den fik en ener og det var rigtigt ,2
2,2,B,15,så hvad siger du denne her ville være ,2
2,2,A,15,altså helt sådan ud fra så ville jeg bare sige at den skulle dø men men jeg kan ikke lige finde ud af hvor de har det der nutrition henne ,2
2,2,B,15,nej hvis vi tager de tynde ben jeg tror nemlig måske det har noget med,2
2,2,A,15,slanke ben ,2
2,2,B,15,ja det er godt ,2
2,2,A,15,skal vi prøve at sige to ,2
2,2,B,15,ja ,2
2,2,A,16,så slanke ben ,2
2,2,B,16,er bedre end dén der har vi haft og hvad har vi sagt der har vi sagt fire ,2
2,2,A,16,altså ond ond,2
2,2,B,16,ja og det kan vi bruge til noget og det kan vi ikke bruge til noget ,2
2,2,A,16,nej det havde nemlig tykke ben ,2
2,2,B,16,ja spørgsmålet er så om de ligesom udligner hinanden så det bare er ingenting vi kan bruge ,2
2,2,A,16,skal vi sige fire ,2
2,2,B,16,ja ,2
2,2,A,17,dét der det var så ,3
2,2,B,17,det var bare neutral ,3
2,2,A,17,det var neutral ,3
2,2,B,18,og dét kunne vi godt bruge ,3
2,2,A,18,det kunne vi godt bruge det var positivt ,3
2,2,B,18,og ellers så er den vel neutral så er det vel en toer ,3
2,2,A,18,jeg tror det ikke ,3
2,2,A,19,så det er negativ men dét er positiv ,3
2,2,B,19,ja ,3
2,2,A,19,går den så i nul ,3
2,2,B,19,nej det tror jeg nemlig ikke for der havde vi nemlig en før vi gav fire fordi den havde prikker og onde øjne og så havde den dét her også så jeg tror stadig godt vi kan bruge dét der armene vi kan så ikke bruge benene ,3
2,2,A,19,så det er en fireer igen ,3
2,2,B,19,jamen spørgsmålet er om det her gør den ond ,3
2,2,A,19,den havde pletter før ,3
2,2,B,19,ja jeg ved så ikke om benene gør den ond eller om det bare gør den ubrugelig ,3
2,2,A,19,ja ,3
2,2,B,19,to eller fire ,3
2,2,A,19,jeg tror ikke det gør den ond,3
2,2,B,19,nej vel ,3
2,2,A,19,nej ,3
2,2,B,19,så er det en toer vel ,3
2,2,A,19,ja ,3
2,2,A,20,den gør den ond hvad er det der gør den ond det er armene eller hvad ,3
2,2,B,20,store ben ,3
2,2,A,20,de store ben ,3
2,2,B,20,måske kombinationen af store ben og tykke arme ,3
2,2,A,20,ja så denne her den er vel ond så det er en treer ,3
2,2,B,20,ja ,3
2,2,B,21,okay så når de kommer sammen men det forstår jeg ikke for jeg synes bare vi tappede fra en der både havde tykke ben og tykke arme ,3
2,2,A,21,altså det er positivt med de tynde ben i hvert fald her ,3
2,2,B,21,og så prikkerne gør den ond men der er kun én ting så bliver den ikke ond ,3
2,2,A,21,nej den er ikke helt ond ,3
2,2,B,21,så er det vel en toer ,3
2,2,A,22,men der er så to onde ting men vi kan så godt bruge benene så det må være en fireer ,3
2,2,B,22,en fireer ja ,3
2,2,A,23,den skal have armene måske skal vi gå helt væk fra noget med armene eller pletterne eller sådan noget ,3
2,2,B,23,ja den skal det er en kombination nu ,3
2,2,A,23,så ,3
2,2,B,23,så den kan vi godt bruge til rigtig meget ,3
2,2,A,23,ja ,3
2,2,B,23,så er det vel en toer ,3
2,2,A,23,det er en rigtig god toer ,3
2,2,B,24,okay armene er blevet onde er de ikke ,3
2,2,A,24,armene er onde og benene er gode ,3
2,2,B,24,ja ,3
2,2,A,24,så den der den ,3
2,2,B,24,den er vel en fireer ,3
2,2,A,24,det må det være ,3
2,2,B,25,den er en også nej er den også en fireer så ,4
2,2,A,25,mmm ja det finder vi ud af nu ,4
2,2,B,25,ja ,4
2,2,A,26,den er destructive ,4
2,2,B,26,den er kun okay der er noget med øjnene og pletterne er heller ikke onde mere ,4
2,2,A,26,armene er åbenbart vigtigst ,4
2,2,B,26,ja øjnene og pletterne er ikke rigtig onde mere virker det til ,4
2,2,A,26,nej men men ja så det må også være en treer hvis vi går ud fra at armene er de vigtigste ,4
2,2,B,26,det tror jeg ,4
2,2,B,27,dårlig ,4
2,2,A,27,ja ,4
2,2,B,27,skidt skidt nej det var så det om de så ikke,4
2,2,A,27,det er så fordi vi tager det med fra sidste omgang ,4
2,2,B,27,ja ,4
2,2,A,27,men dårlige ben og ,4
2,2,B,27,de er vel bare ligemeget er de ikke stadigvæk ,4
2,2,A,27,de det kan vi ikke bruge til noget ,4
2,2,B,27,jeg vil sige men tre spørgsmålet er så fordi før så skulle det jo være tykke ben og tykke arme så var den i hvert fald farlig jeg ved ikke om den er farlig når den er,4
2,2,A,27,var det egentlig ikke denne her vi satte til neutral hvis ikke den havde haft pletterne så havde vi sat den der til neutral ,4
2,2,B,27,jo det tror jeg var den rigtig ,4
2,2,A,27,ja den var rigtig med de tykke ben,4
2,2,B,27,så spørgsmålet er om denne her også er neutral ,4
2,2,A,27,skal vi prøve ,4
2,2,B,27,ja ,4
2,2,B,28,den havde noget ,4
2,2,A,28,er det pletterne der gør den nutricious ,4
2,2,B,28,det ville være noget helt nyt okay så er den der jo så en toer er det det ,4
2,2,A,28,fordi ,4
2,2,B,28,fordi den har pletterne ,4
2,2,A,28,ej jeg tror ikke,4
2,2,B,28,men det kan også være benene ,4
2,2,A,28,den er en toer ,4
2,2,B,28,ja ,4
2,2,B,29,og den er er en ikke neutral ,4
2,2,A,29,det er en toer ,4
2,2,B,29,er det en toer når ja benene ja ,4
2,2,A,30,hvad var forskellen på de to lige der ,4
2,2,B,30,den anden havde onde øjne ,4
2,2,A,30,den første havde onde øjne ,4
2,2,B,30,ja var det ikke kun det der var forskellen på de to ,4
2,2,A,30,ja men hvorfor det at den havde onde øjne det blev til en toer så den kunne vi bruge og det at den ikke havde onde øjne det gør at den var friendly ,4
2,2,B,30,ja så den skulle bare ignoreres ,4
2,2,A,30,hvordan kan vi bruge den når den har onde øjne så nu kan vi åbenbart godt bruge det dårlige det vi før tænkte var dårligt ,4
2,2,B,30,ja det der er pletter og øjne nu ,4
2,2,A,30,ja ,4
2,2,B,30,det er en ,4
2,2,A,30,den er en god ting ,4
2,2,B,30,den har vi også haft før den her og der har den der er ikke noget med farven nu vel ,4
2,2,A,30,nej nej det tror jeg ikke ,4
2,2,B,30,nej det godt så tænker jeg det er en fireer ,4
2,2,A,30,fordi ,4
2,2,B,30,fordi at at hvis vi benene kunne vi så ikke bruge men vi kunne bruge pletterne og så er den ellers farlig fordi den er stærk ,4
2,2,B,31,okay forskellen fra den lige før det er at den ikke har pletter og den har ikke øjne ,4
2,2,A,31,den har ikke,4
2,2,B,31,er den så neutral denne her ,4
2,2,A,31,tror du ikke den er er god ,4
2,2,B,31,altså to ,4
2,2,A,31,ja ,4
2,2,B,31,jo det kunne den også være jo ,4
2,2,A,31,eller også så er den ,4
2,2,B,31,jeg tror ikke den er farlig ,4
2,2,A,31,du tror ikke vi skal dræbe den ,4
2,2,B,31,jeg tror ikke den er farlig ,4
2,2,A,31,skal vi prøve en toer ,4
2,2,B,31,ja ,4
2,2,A,32,så er det den der den der er så en toer ,4
2,2,B,32,ja ,4
2,2,B,33,øhm tre nej så har den det er altså ikke benene vi skal have åbenbart det er ikke dem der er nutricious den har i hvert fald ikke holdt helt ,5
2,2,A,33,er den ikke en treer ,5
2,2,B,33,jo det ville jeg tro ,5
2,2,B,34,den er er den så også en treer ,5
2,2,A,34,ja det tænker jeg ,5
2,2,B,34,okay det prøver vi ,5
2,2,B,35,jeg tror kun armene skal ses som noget dårligt nu det er noget farligt ,5
2,2,A,35,okay ,5
2,2,B,35,så hvis armene er sammen med ja spørgsmålet er så hvad der ellers er farligt om det også er benene ,5
2,2,A,35,øh hvis vi siger armene er farligere,5
2,2,B,35,ja og hvad med benene ,5
2,2,A,35,benene får at det var godt så skulle så før havde vi en idé om at de skulle være tynde ,5
